Ayyanar Restaurant,https:\/\/www.zomato.com\/chennai\/ayyanar-restaurant-1-gst-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"73, Pilliyar Koil Street, Potheri, Srm Back Gate, GST Road, Chennai",Chennai
Blueberry,https:\/\/www.zomato.com\/chennai\/blueberry-gst-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"71, Pilliyar Koil Street, SRm College Back Gate, Potheri, GST Road, Chennai",Chennai
Chaat House,https:\/\/www.zomato.com\/chennai\/chaat-house-gst-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"63, Pilliyar Koil Street, Srm Back Gate, GST Road, Chennai",Chennai
The Appula's,https:\/\/www.zomato.com\/chennai\/the-appulas-egatoor?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1st Floor, 94\/1, OMR, Rajiv Gandhi Salai, Egatoor, Chennai",Chennai
Aroma Veg Treat,https:\/\/www.zomato.com\/chennai\/aroma-veg-treat-west-mambalam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"New 11, Old 5, Thambiah Reddy Street, West Mambalam, Chennai",Chennai
Dilli Darbar,https:\/\/www.zomato.com\/chennai\/dilli-darbar-gst-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Pilliyar Koil Street, Srm Back Gate, Potheri, GST Road, Chennai",Chennai
Meet The Burger,https:\/\/www.zomato.com\/chennai\/meet-the-burger-navallur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1\/258, OMR, Thalumbur Road, Navallur, Chennai",Chennai
Appa Sutta Dosai,https:\/\/www.zomato.com\/chennai\/appa-sutta-dosai-velachery?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"137, Shop 1, Grand Arcade, Seetharaman, Velachery, Chennai",Chennai
India Gate,https:\/\/www.zomato.com\/chennai\/india-gate-thuraipakkam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1, Sakthi Nagar, Main Road, Okkiyam Thuraipakkam, Thuraipakkam, Chennai",Chennai
Hotel New Punjabi Dhaba,https:\/\/www.zomato.com\/chennai\/hotel-new-punjabi-dhaba-gst-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1, GST Main Road, Near Srm, Potheri, GST Road, Chennai",Chennai
Al-Mabrook Restaurant Biriyani & Grill,https:\/\/www.zomato.com\/chennai\/al-mabrook-restaurant-biriyani-grill-t-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"No. 5, North Usman Road, T. Nagar, Chennai",Chennai
Gumgumalu,https:\/\/www.zomato.com\/chennai\/gumgumalu-chengalpattu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"52\/67, Near SBI Bank Atm, Mahindra World City, Chengalpattu, Chennai",Chennai
Biryaani Palace,https:\/\/www.zomato.com\/chennai\/biryaani-palace-porur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"116, Bazaar Road, Kundrathur, Porur, Chennai",Chennai
Hot N Spicy,https:\/\/www.zomato.com\/chennai\/hot-n-spicy-porur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1, Thuluka Street, Near Police Station, Porur, Chennai",Chennai
Madurai Sri Muniyandi Vilas,https:\/\/www.zomato.com\/chennai\/madurai-sri-muniyandi-vilas-porur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"70, Thuluka Street, Kundrathur, Porur, Chennai",Chennai
Hotel Junior Ponnaiya,https:\/\/www.zomato.com\/chennai\/hotel-junior-ponnaiya-porur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"5\/2, Kundrathur Main Road, Porur, Chennai",Chennai
Syed Arcot Chicken Biriyani & Fast Food,https:\/\/www.zomato.com\/chennai\/syed-arcot-chicken-biriyani-fast-food-porur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Kundrathur Main Road, Periyapanicheri, Porur, Chennai",Chennai
The Biryani Factory,https:\/\/www.zomato.com\/chennai\/the-biryani-factory-1-porur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"93, Trunk Road, Near Gopalakriishna Theatre, Porur, Chennai",Chennai
Suganivaas,https:\/\/www.zomato.com\/chennai\/suganivaas-porur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1\/768, Selvaganapathy Nagar, Mugalivakkam, Porur, Chennai",Chennai
